"name","numberOfGuests","roomType","stars"
"D'Villa Garden House","2","Private room in guest suite","4.61"
"Suppar villa, a vacation home","6","Entire home","4.5"
"Relaxing 2 BR home closer to Nallur temple","4","Entire vacation home",
"Brinthavanam days inn /Non Ac/Free Veg Break fast","2","Private room in guesthouse","4.44"
"Lone Star Residence","6","Entire home",
"Valli Farm Stay with a view and fun Activities","3","Farm stay",
"SATK INN - Deluxe Family Room","3","Room in hotel",
"One bedroom apartment","3","Private room in condo",
"Charming 1 Cabana Resort with Pool","4","Private room in resort",
"""Mathura"" Home / Two rooms for rental in Jaffna","4","Entire home","4"
"abi holiday home - private villa -jaffna","6","Entire villa",
"Thikal Kudisai- Private Room 01","3","Private room in villa",
"K.P.K Farm House","3","Hut",
"village house in the nature","4","Entire home",
"J. R. Thacxhana Mahal - Main Floor / 1st Floor","6","Entire home",
"Malabar Home Stay Jaffna","7","Entire vacation home",
"Vannarpannai Properties (new close to Jaffna Town)","5","Entire rental unit",
"Ponrose Villa - 8 bed rooms","16","Entire villa",
"Located close to town centre","4","Entire condo",
"AJR Guest House Jaffna","7","Entire townhouse",
"Hari Guest House-One room without A/c 2sleeps","2","Private room in home",
"Shylla Villa - Nature House","10","Entire home",
"Hari Guest House Full house with 6bedroom-15sleeps","16","Entire villa",
"Hari Guest House _ Three bed room first floor","9","Private room in villa",
"Hari Guest House Family kingsize Bed Room with A/c","5","Entire villa",
"J Hotel","15","Room in hotel",
"Tony's Garden House 🏡 inn","16","Private room in home","4.08"
"Jaffna Eco Resort","8","Private room in villa",
"Hari Guest House _ Three rooms in Ground Floor","8","Private room in villa",
"Spacious Full House Rental","8","Entire home",
"Deya's Villa","8","Entire home","4"
"Jaffna retreat","6","Entire home",
"lovely","2","Private room in home",
"Neverbeen to Sarras Guest House | DBL Room 1","2","Private room in guesthouse",
"Jamuna Villa","16","Room in hotel",
"Logement entier proche Nallur","8","Entire home",
"Neverbeen to Sarras Guest House","2","Private room in guesthouse",
"Near the jaffna Hindu college","11","Entire rental unit",
"""Mathura"" Home/ Holiday home for rental in Jaffna","10","Entire home","4"
"Cottage Thamor 2 Bedroom unit","9","Private room in home",
"A Traditional Villa with Garden","13","Entire villa","4"
